kind,key,path,url
pinned-source,qwen-code,packages/core/src/tools/agent/agent.ts,https://github.com/QwenLM/qwen-code/blob/99bf4ce86b32010644538046ea37b0ef0ad23921/packages/core/src/tools/agent/agent.ts
repository,qwen-docs,,https://github.com/QwenLM/qwen-code-docs
pinned-source,kimi-code,README.md,https://github.com/MoonshotAI/kimi-code/blob/6451f1e056e90037bbf832f3578955cf8e55db64/README.md
pinned-source,kimi-code,packages/agent-core-v2/src/agent/llmRequester/llmRequester.ts,https://github.com/MoonshotAI/kimi-code/blob/6451f1e056e90037bbf832f3578955cf8e55db64/packages/agent-core-v2/src/agent/llmRequester/llmRequester.ts
pinned-source,kimi-code,docs/en/configuration/providers.md,https://github.com/MoonshotAI/kimi-code/blob/6451f1e056e90037bbf832f3578955cf8e55db64/docs/en/configuration/providers.md
official-document,kimi-changelog,,https://www.kimi.com/code/docs/en/kimi-code/whats-new.html
pinned-source,mimo-code,packages/opencode/src/tool/registry.ts,https://github.com/XiaomiMiMo/MiMo-Code/blob/1579e7d9ee5fca87b707c3892dc725316674a9d6/packages/opencode/src/tool/registry.ts
pinned-source,mimo-code,packages/opencode/src/session/compaction.ts,https://github.com/XiaomiMiMo/MiMo-Code/blob/1579e7d9ee5fca87b707c3892dc725316674a9d6/packages/opencode/src/session/compaction.ts
pinned-source,deepseek-harness,README.md,https://github.com/deepseek-ai/deepseek-harness/blob/00102833dfaee1da9f48a3a8eae9d34005a75218/README.md
official-document,deepseek-overview,,https://deepseek.com/harness/en/
pinned-source,deepseek-harness,packages/core/agent-loop/src/agent.ts,https://github.com/deepseek-ai/deepseek-harness/blob/00102833dfaee1da9f48a3a8eae9d34005a75218/packages/core/agent-loop/src/agent.ts
pinned-source,deepseek-harness,packages/core/agent-loop/src/tool-calls.ts,https://github.com/deepseek-ai/deepseek-harness/blob/00102833dfaee1da9f48a3a8eae9d34005a75218/packages/core/agent-loop/src/tool-calls.ts
pinned-source,opencode,README.md,https://github.com/anomalyco/opencode/blob/fe3f3a41f79ad292cc3c7c629567385a20ec5130/README.md
pinned-source,opencode,packages/opencode/src/session/processor.ts,https://github.com/anomalyco/opencode/blob/fe3f3a41f79ad292cc3c7c629567385a20ec5130/packages/opencode/src/session/processor.ts
pinned-source,opencode,packages/opencode/src/session/compaction.ts,https://github.com/anomalyco/opencode/blob/fe3f3a41f79ad292cc3c7c629567385a20ec5130/packages/opencode/src/session/compaction.ts
pinned-source,opencode,packages/opencode/src/tool/task.ts,https://github.com/anomalyco/opencode/blob/fe3f3a41f79ad292cc3c7c629567385a20ec5130/packages/opencode/src/tool/task.ts
pinned-source,pi,packages/agent/src/agent-loop.ts,https://github.com/earendil-works/pi/blob/b4588f26af2f74f7b1387b548e04a3c8d81da75b/packages/agent/src/agent-loop.ts
pinned-source,pi,packages/coding-agent/src/core/session-manager.ts,https://github.com/earendil-works/pi/blob/b4588f26af2f74f7b1387b548e04a3c8d81da75b/packages/coding-agent/src/core/session-manager.ts
pinned-source,cline,README.md,https://github.com/cline/cline/blob/078f82b1e2617a6be421e34c08d35af1c3a78d87/README.md
pinned-source,cline,sdk/packages/agents/src/agent-runtime.ts,https://github.com/cline/cline/blob/078f82b1e2617a6be421e34c08d35af1c3a78d87/sdk/packages/agents/src/agent-runtime.ts
